2025-09-16 14:33:47,185 - trading_bot - INFO - MetaTrader 5 initialized successfully.
2025-09-16 14:33:47,186 - trading_bot - INFO - Logged in successfully.
2025-09-16 14:33:47,186 - trading_bot - INFO - Starting backtest...
2025-09-16 14:33:47,278 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17774 on 2025-07-04 18:00:00 (SL: 1.17724, TP: 1.17874)
2025-09-16 14:33:47,289 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -4.90, New Balance: 9995.10
2025-09-16 14:33:47,289 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.1774499999999999 on 2025-07-04 21:00:00 (SL: 1.17795, TP: 1.17645)
2025-09-16 14:33:47,301 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 6.20, New Balance: 10001.30
2025-09-16 14:33:47,301 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17663 on 2025-07-04 23:45:00 (SL: 1.17613, TP: 1.17763)
2025-09-16 14:33:47,303 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 10009.30
2025-09-16 14:33:47,305 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17795 on 2025-07-07 00:30:00 (SL: 1.17745, TP: 1.17895)
2025-09-16 14:33:47,320 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 10002.30
2025-09-16 14:33:47,322 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17731 on 2025-07-07 05:00:00 (SL: 1.17781, TP: 1.17631)
2025-09-16 14:33:47,339 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 10010.30
2025-09-16 14:33:47,369 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17354 on 2025-07-07 17:00:00 (SL: 1.17304, TP: 1.17454)
2025-09-16 14:33:47,374 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 10003.30
2025-09-16 14:33:47,380 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.1698 on 2025-07-07 20:00:00 (SL: 1.17030, TP: 1.16880)
2025-09-16 14:33:47,382 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9996.30
2025-09-16 14:33:47,395 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.1706699999999999 on 2025-07-07 23:45:00 (SL: 1.17017, TP: 1.17167)
2025-09-16 14:33:47,400 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 10004.30
2025-09-16 14:33:47,401 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17185 on 2025-07-08 01:15:00 (SL: 1.17235, TP: 1.17085)
2025-09-16 14:33:47,403 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9997.30
2025-09-16 14:33:47,405 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17352 on 2025-07-08 02:00:00 (SL: 1.17302, TP: 1.17452)
2025-09-16 14:33:47,409 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 10005.30
2025-09-16 14:33:47,433 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17361 on 2025-07-08 09:15:00 (SL: 1.17411, TP: 1.17261)
2025-09-16 14:33:47,435 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9998.30
2025-09-16 14:33:47,440 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17596 on 2025-07-08 10:45:00 (SL: 1.17546, TP: 1.17696)
2025-09-16 14:33:47,444 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9991.30
2025-09-16 14:33:47,451 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17262 on 2025-07-08 13:30:00 (SL: 1.17312, TP: 1.17162)
